Molecule_ChEMBL_IDs,Class,BCUTc-1l,BCUTi-1h,BCUTv-1h,PEOE_VSA2,BCUTi-1l,BCUTZ-1h,BCUTs-1l,SlogP_VSA5,Xch-6dv,BCUTd-1h,BCUTZ-1l,SMR_VSA3,Xc-5d,BCUTs-1h,BCUTp-1l,BCUTpe-1l,EState_VSA1,EState_VSA6,piPC9,BCUTdv-1l,BCUTare-1l,Xch-7dv,Xch-6d,ATSC1i
CHEMBL3218058,1,-0.422727751,14.56108173,20.9056742,4.794537184,10.94911816,8.022029667,1.330229939,47.67109373,0.144887994,3.269180557,5.688629319,9.551078169,0.337673112,7.008272316,0.751866785,2.23753229,0.0,0.0,7.574263667,0.987935155,2.187980547,0.169763578,0.498670874,-2.823853389
CHEMBL2376558,1,-0.347227586,17.42477188,26.5238932,0.0,10.93011444,35.00041822,1.043374117,22.60826052,0.204611817,3.271667055,5.669612822,9.967957042,0.560137939,8.00191838,0.545863052,2.219033962,0.0,0.0,8.148461481,0.256013587,2.169077168,0.287730388,0.617984686,5.43211839
CHEMBL3218053,1,-0.426752465,14.56108004,20.90051717,4.794537184,10.94911817,8.022028639,1.324221042,74.71466593,0.112812979,3.268956648,5.688629856,9.551078169,0.337673112,7.008271981,0.751866988,2.237602893,0.0,0.0,7.144693865,0.98714361,2.188001148,0.150744282,0.396608802,-6.632936156
CHEMBL45152,1,-0.402919396,14.54954033,24.43743687,4.794537184,10.32922355,16.0047533,0.60972091,0.0,0.201093244,3.278711942,5.683241913,3.956661108,0.293217604,7.008277369,0.748952358,2.221352182,0.0,3.956661108,7.245688501,0.654731413,2.166815944,0.25602651,0.420434858,-6.643796409
CHEMBL3133986,1,-0.360874403,14.55710488,20.92736741,9.589074368,10.93616964,8.023322873,1.253736107,16.82083098,0.225846974,3.240981379,5.675683871,25.58551277,0.587267227,7.009366114,0.751051252,2.225340016,17.99086139,6.196843572,7.620967384,1.984268744,2.175509597,0.217773033,0.726289672,6.842959703
CHEMBL227541,1,-0.529120509,14.55090943,20.91988545,4.983978521,10.93645043,8.029286271,1.183275533,38.44941271,0.134427196,4.022125347,5.672602564,20.60153425,0.955584114,7.009380579,0.741422973,2.218363143,18.04226063,13.30664111,7.527386259,0.98931548,2.16936294,0.176615733,0.411054416,-15.48198523
CHEMBL4855929,1,-0.361052572,14.56134407,20.91960582,19.79289516,10.93703276,8.02462799,1.2503114,54.99130616,0.193771959,3.241080391,5.676101621,36.21908998,0.621785024,7.010463873,0.750992811,2.225343296,29.93988195,6.196843572,7.258161789,0.987927532,2.175532664,0.207488491,0.6242276,3.799256105
CHEMBL540975,1,-0.369516248,14.54425215,20.85770676,4.899909731,10.9919234,8.007254431,1.185045793,180.7888366,0.243908426,3.158981388,5.730900258,15.53348694,0.469416097,6.003666215,0.787166175,2.280042294,0.0,5.57310453,4.882801923,0.99305285,2.230256038,0.430605363,0.343013034,-4.699058406
CHEMBL4865169,1,-0.361049836,14.56135111,20.92834577,19.79289516,10.93616959,8.024633361,1.250311461,29.66247422,0.225846974,3.241229687,5.675683824,36.21908998,0.705118357,7.010465512,0.750992809,2.225343296,29.93988195,6.196843572,7.661337725,1.85569148,2.175509551,0.217773033,0.726289672,8.864610059
CHEMBL4862267,1,-0.477454798,14.56147047,20.92922456,19.79289516,10.93616955,8.030521524,1.200354356,50.43368582,0.225846974,4.017108705,5.675683788,41.53587858,0.656302821,7.01156588,0.740271167,2.225343297,47.54135256,33.16489874,7.722610076,0.989872942,2.175509523,0.217773033,0.726289672,-2.847005
CHEMBL5180249,1,-0.515152251,13.64613487,20.92716013,0.0,10.93039734,8.032221836,1.120315709,90.69134034,0.123497658,4.034578443,5.66986404,0.0,1.200247383,7.009388233,0.740332717,2.218243947,23.1407122,25.13249144,8.28878581,0.98766682,2.168528284,0.301726969,0.243092524,4.699659448
CHEMBL4065177,1,-0.434928902,14.56035218,20.94435887,28.7672231,10.91304951,8.028575039,1.194005142,94.01915148,0.328071541,3.246624055,5.652743546,41.11899971,1.151502341,7.013767421,0.750863197,2.202735433,77.6120294,18.72100722,7.668422372,0.98765691,2.152737269,0.319680163,0.809623006,2.112357165
CHEMBL4781785,1,-0.465034936,14.55312445,26.52389382,0.0,10.31169199,35.00041831,0.610132677,0.0,0.292798075,3.283970524,5.675127215,14.11817782,0.522571412,3.513017453,0.77713153,2.222455227,0.0,18.44658342,8.347131178,0.256008264,2.171009152,0.452476706,0.734524519,-15.59730225
CHEMBL574091,1,-0.529836289,17.42581671,20.93000481,0.0,10.9299794,9.005173769,1.24469164,22.60826052,0.197168784,3.272597102,5.669276917,9.967957042,0.393471272,8.002961778,0.545238281,2.21852793,17.55234773,14.21959508,8.334297095,0.996623366,2.168690896,0.258553135,0.587400783,-1.64808428
CHEMBL3310065,1,-0.360943713,14.56057755,20.91875294,14.38361155,10.93703276,8.024647117,1.124593683,111.2134274,0.694589539,4.026745545,5.676101621,40.87025842,0.971464392,7.010467724,0.750992789,2.225343295,29.93988195,0.0,7.415751121,1.948620367,2.175532663,1.463828041,1.163673502,6.155414219
CHEMBL327502,1,-0.52933497,14.5495423,24.4374373,4.794537184,10.32922269,16.00475354,0.609720224,0.0,0.196796007,3.278777628,5.68323899,3.956661108,0.293217604,7.008277908,0.74893551,2.22135186,0.0,11.06645865,7.437325986,0.654728969,2.166815897,0.265444957,0.401706119,-9.443920354
